Warehouse,Location,Pickable,Sellable,"Pick Priority","Transfer bin",Staging,Quantity,Type
Primary,01-04-A-P01,Yes,Yes,0,No,No,285,Pallet
Primary,01-04-A-P02,Yes,Yes,0,No,No,1,Pallet
Primary,01-04-A-P03,Yes,Yes,0,No,No,36,Pallet
Primary,01-04-B-P01,No,Yes,1,No,No,46,Pallet
Primary,01-04-B-P02,No,Yes,1,No,No,74,Pallet
Primary,01-04-B-P03,No,Yes,1,No,No,66,Pallet
Primary,01-04-C-P01,No,Yes,1,No,No,65,Pallet
Primary,01-04-C-P02,Yes,Yes,1,No,No,29,Pallet
Primary,01-04-C-P03,No,Yes,1,No,No,291,Pallet
Primary,01-04-D-P01,No,Yes,1,No,No,722,Pallet
Primary,01-04-D-P02,No,Yes,1,No,No,46,Pallet
Primary,01-04-D-P03,No,Yes,1,No,No,26,Pallet
Primary,01-05-A-P01,Yes,Yes,0,No,No,26,Pallet
Primary,01-05-A-P02,Yes,Yes,0,No,No,90,Pallet
Primary,01-05-A-P03,Yes,Yes,0,No,No,85,Pallet
Primary,01-05-B-P01,No,Yes,1,No,No,44,Pallet
Primary,01-05-B-P02,No,Yes,1,No,No,43,Pallet
Primary,01-05-C-P01,No,Yes,1,No,No,2730,Pallet
Primary,01-05-C-P03,No,Yes,1,No,No,720,Pallet
Primary,01-05-D-P01,No,Yes,1,No,No,319,Pallet
Primary,01-05-D-P02,No,Yes,1,No,No,338,Pallet
Primary,01-05-D-P03,No,Yes,1,No,No,147,Pallet
Primary,01-06-A-P01,Yes,Yes,0,No,No,38,Pallet
Primary,01-06-A-P02,Yes,Yes,0,No,No,1021,Pallet
Primary,01-06-A-P03,Yes,Yes,0,No,No,42,Pallet
Primary,01-06-B-P01,No,Yes,1,No,No,20,Pallet
Primary,01-06-B-P02,No,Yes,1,No,No,294,Pallet
Primary,01-06-B-P03,No,Yes,1,No,No,72,Pallet
Primary,01-06-C-P01,No,Yes,1,No,No,360,Pallet
Primary,01-06-D-P01,Yes,Yes,1,No,No,75,Pallet
Primary,01-06-D-P03,No,Yes,1,No,No,500,Pallet
Primary,01-07-A-P01,Yes,Yes,0,No,No,437,Pallet
Primary,01-07-A-P02,Yes,Yes,0,No,No,63,Pallet
Primary,01-07-A-P03,Yes,Yes,0,No,No,3037,Pallet
Primary,01-07-B-P01,No,Yes,1,No,No,137,Pallet
Primary,01-07-B-P02,No,Yes,1,No,No,616,Pallet
Primary,01-07-B-P03,No,Yes,1,No,No,57,Pallet
Primary,01-07-C-P01,No,Yes,1,No,No,36,Pallet
Primary,01-07-C-P02,Yes,Yes,1,No,No,232,Pallet
Primary,01-07-D-P01,No,Yes,1,No,No,1,Pallet
Primary,01-07-D-P02,Yes,Yes,1,No,No,405,Pallet
Primary,01-07-D-P03,No,Yes,1,No,No,576,Pallet
Primary,01-08-A-P01,Yes,Yes,0,No,No,504,Pallet
Primary,01-08-B-P01,No,Yes,1,No,No,228,Pallet
Primary,01-08-B-P02,No,Yes,1,No,No,1,Pallet
Primary,01-08-B-P03,No,Yes,1,No,No,81,Pallet
Primary,01-08-C-P01,No,Yes,1,No,No,45,Pallet
Primary,01-08-C-P02,No,Yes,1,No,No,10,Pallet
Primary,01-08-D-P01,No,Yes,1,No,No,9,Pallet
Primary,01-08-D-P02,No,Yes,1,No,No,90,Pallet
Primary,01-08-D-P03,No,Yes,1,No,No,196,Pallet
Primary,01-09-B-P01,No,Yes,1,No,No,29,Pallet
Primary,01-09-B-P02,No,Yes,1,No,No,36,Pallet
Primary,01-09-B-P03,No,Yes,1,No,No,1680,Pallet
Primary,01-09-C-P02,No,Yes,1,No,No,57,Pallet
Primary,01-09-C-P03,No,Yes,1,No,No,174,Pallet
Primary,01-09-D-P01,No,Yes,1,No,No,504,Pallet
Primary,01-09-D-P03,No,Yes,1,No,No,50,Pallet
Primary,01-10-A-P01,Yes,Yes,1,No,No,135,Pallet
Primary,01-10-B-P01,No,Yes,1,No,No,1,Pallet
Primary,01-10-B-P02,No,Yes,1,No,No,77,Pallet
Primary,01-10-B-P03,No,Yes,1,No,No,72,Pallet
Primary,01-10-C-P01,No,Yes,1,No,No,120,Pallet
Primary,01-10-C-P02,No,Yes,1,No,No,163,Pallet
Primary,01-10-C-P03,No,Yes,1,No,No,54,Pallet
Primary,01-10-D-P01,No,Yes,1,No,No,74,Pallet
Primary,01-10-D-P02,No,Yes,1,No,No,224,Pallet
Primary,01-10-D-P03,No,Yes,1,No,No,70,Pallet
Primary,01-11-B-P01,No,Yes,1,No,No,43,Pallet
Primary,01-11-B-P02,No,Yes,1,No,No,50,Pallet
Primary,01-11-B-P03,No,Yes,1,No,No,142,Pallet
Primary,01-11-D-P01,No,Yes,1,No,No,675,Pallet
Primary,01-11-D-P02,No,Yes,1,No,No,288,Pallet
Primary,01-12-B-P01,No,Yes,1,No,No,500,Pallet
Primary,01-12-C-P02,No,Yes,1,No,No,64,Pallet
Primary,01-12-D-P01,No,Yes,1,No,No,1400,Pallet
Primary,01-12-D-P02,Yes,Yes,1,No,No,67,Pallet
Primary,01-12-D-P03,Yes,Yes,1,No,No,307,Pallet
Primary,01-14-A-P01,Yes,Yes,1,No,No,342,Pallet
Primary,01-14-A-P02,No,Yes,1,No,No,892,Pallet
Primary,01-14-A-P03,Yes,Yes,1,No,No,28,Pallet
Primary,01-14-A-P04,No,Yes,1,No,No,75,Pallet
Primary,01-15-A-P01,Yes,Yes,1,No,No,4727,Pallet
Primary,01-15-A-P02,No,Yes,1,No,No,74,Pallet
Primary,01-15-A-P03,Yes,Yes,1,No,No,94,Pallet
Primary,01-15-A-P04,No,Yes,1,No,No,32,Pallet
Primary,01-16-A-PO1,Yes,Yes,1,No,No,165,Pallet
Primary,01-16-A-PO2,Yes,Yes,1,No,No,82,Pallet
Primary,01-16-A-PO3,Yes,Yes,1,No,No,98,Pallet
Primary,01-16-A-PO4,Yes,Yes,1,No,No,92,Pallet
Primary,02-01-A-P01,Yes,Yes,1,No,No,5,Pallet
Primary,02-01-A-P02,Yes,Yes,1,No,No,979,Pallet
Primary,02-01-A-P03,Yes,Yes,1,No,No,390,Pallet
Primary,02-01-B-01,No,Yes,1,No,No,6,Bin
Primary,02-01-L-03,No,Yes,1,No,No,4,Bin
Primary,02-01-L-04,No,Yes,1,No,No,4,Bin
Primary,02-01-L-05,No,Yes,1,No,No,9,Bin
Primary,02-02-A-P01,Yes,Yes,1,No,No,780,Pallet
Primary,02-02-A-P02,Yes,Yes,1,No,No,468,Pallet
Primary,02-02-A-P03,Yes,Yes,1,No,No,2271,Pallet
Primary,02-02-B-P02,No,Yes,1,No,No,1,Pallet
Primary,02-03-A-P01,Yes,Yes,1,No,No,126,Pallet
Primary,02-03-A-P02,Yes,Yes,1,No,No,104,Pallet
Primary,02-03-A-P03,Yes,Yes,1,No,No,4765,Pallet
Primary,02-04-A-P01,Yes,Yes,1,No,No,695,Pallet
Primary,02-04-A-P03,Yes,Yes,1,No,No,10,Pallet
Primary,02-05-A-P01,Yes,Yes,1,No,No,1015,Pallet
Primary,02-05-A-P02,Yes,Yes,1,No,No,2909,Pallet
Primary,02-06-A-P01,Yes,Yes,1,No,No,526,Pallet
Primary,02-06-A-P02,Yes,Yes,1,No,No,1500,Pallet
Primary,02-06-A-P03,No,Yes,1,No,No,5089,Pallet
Primary,02-07-A-P01,Yes,Yes,1,No,No,5694,Pallet
Primary,02-07-A-P03,Yes,Yes,1,No,No,3184,Pallet
Primary,02-13-B-P02,No,Yes,1,No,No,4,Pallet
Primary,02-15-A-P02,Yes,Yes,1,No,No,286,Pallet
Primary,03-17-C-P02,No,Yes,1,No,No,4,Pallet
Primary,04-03-A-01,Yes,Yes,1,No,No,6,Bin
Primary,04-03-A-02,Yes,Yes,1,No,No,6,Bin
Primary,04-03-A-03,Yes,Yes,1,No,No,4,Bin
Primary,04-03-A-04,Yes,Yes,1,No,No,8,Bin
Primary,04-03-A-05,Yes,Yes,1,No,No,4,Bin
Primary,04-03-A-06,No,Yes,1,No,No,4,Bin
Primary,04-03-A-07,Yes,Yes,1,No,No,5,Bin
Primary,04-03-A-08,Yes,Yes,1,No,No,1,Bin
Primary,04-03-A-10,Yes,Yes,1,No,No,2,Bin
Primary,04-03-A-11,Yes,Yes,1,No,No,3,Bin
Primary,04-03-A-12,Yes,Yes,1,No,No,3,Bin
Primary,04-03-A-13,Yes,Yes,1,No,No,8,Bin
Primary,04-03-B-01,Yes,Yes,1,No,No,1,Bin
Primary,04-03-B-02,Yes,Yes,1,No,No,1,Bin
Primary,04-03-B-03,Yes,Yes,1,No,No,1,Bin
Primary,04-03-B-04,Yes,Yes,1,No,No,1,Bin
Primary,04-03-B-05,Yes,Yes,1,No,No,1,Bin
Primary,04-03-B-06,Yes,Yes,1,No,No,4,Bin
Primary,04-03-B-07,Yes,Yes,1,No,No,2,Bin
Primary,04-03-B-08,Yes,Yes,1,No,No,5,Bin
Primary,04-03-B-09,Yes,Yes,1,No,No,3,Bin
Primary,04-03-B-10,Yes,Yes,1,No,No,2,Bin
Primary,04-03-B-11,Yes,Yes,1,No,No,2,Bin
Primary,04-03-B-12,Yes,Yes,1,No,No,6,Bin
Primary,04-03-B-13,Yes,Yes,1,No,No,2,Bin
Primary,04-03-C-01,Yes,Yes,1,No,No,1,Bin
Primary,04-03-C-02,Yes,Yes,1,No,No,1,Bin
Primary,04-03-C-03,Yes,Yes,1,No,No,1,Bin
Primary,04-03-C-04,Yes,Yes,1,No,No,1,Bin
Primary,04-03-C-05,Yes,Yes,1,No,No,1,Bin
Primary,04-03-C-06,Yes,Yes,1,No,No,1,Bin
Primary,04-03-C-07,Yes,Yes,1,No,No,1,Bin
Primary,04-03-C-08,Yes,Yes,1,No,No,1,Bin
Primary,04-03-C-09,Yes,Yes,1,No,No,1,Bin
Primary,04-03-C-10,Yes,Yes,1,No,No,2,Bin
Primary,04-03-C-11,Yes,Yes,1,No,No,1,Bin
Primary,04-03-C-12,Yes,Yes,1,No,No,1,Bin
Primary,04-03-C-13,Yes,Yes,1,No,No,3,Bin
Primary,04-03-D-01,Yes,Yes,1,No,No,1,Bin
Primary,04-03-D-02,Yes,Yes,1,No,No,1,Bin
Primary,04-03-D-03,Yes,Yes,1,No,No,1,Bin
Primary,04-03-D-04,Yes,Yes,1,No,No,1,Bin
Primary,04-03-D-05,Yes,Yes,1,No,No,1,Bin
Primary,04-03-D-06,Yes,Yes,1,No,No,1,Bin
Primary,04-03-D-07,Yes,Yes,1,No,No,1,Bin
Primary,04-03-D-08,Yes,Yes,1,No,No,1,Bin
Primary,04-03-D-09,Yes,Yes,1,No,No,1,Bin
Primary,04-03-D-10,Yes,Yes,1,No,No,1,Bin
Primary,04-03-D-11,Yes,Yes,1,No,No,1,Bin
Primary,04-03-D-12,Yes,Yes,1,No,No,2,Bin
Primary,04-03-D-13,Yes,Yes,1,No,No,1,Bin
Primary,04-04-A-02,Yes,Yes,1,No,No,4,Bin
Primary,04-04-A-03,Yes,Yes,1,No,No,4,Bin
Primary,04-04-A-04,Yes,Yes,1,No,No,5,Bin
Primary,04-04-A-05,Yes,Yes,1,No,No,6,Bin
Primary,04-04-A-06,Yes,Yes,1,No,No,6,Bin
Primary,04-04-A-07,Yes,Yes,1,No,No,8,Bin
Primary,04-04-A-08,Yes,Yes,1,No,No,3,Bin
Primary,04-04-A-09,Yes,Yes,1,No,No,6,Bin
Primary,04-04-A-10,Yes,Yes,1,No,No,4,Bin
Primary,04-04-A-11,Yes,Yes,1,No,No,6,Bin
Primary,04-04-A-12,Yes,Yes,1,No,No,6,Bin
Primary,04-04-A-13,Yes,Yes,1,No,No,7,Bin
Primary,04-04-B-01,Yes,Yes,1,No,No,1,Bin
Primary,04-04-B-02,Yes,Yes,1,No,No,1,Bin
Primary,04-04-B-03,Yes,Yes,1,No,No,2,Bin
Primary,04-04-B-04,Yes,Yes,1,No,No,6,Bin
Primary,04-04-B-05,Yes,Yes,1,No,No,2,Bin
Primary,04-04-B-06,Yes,Yes,1,No,No,5,Bin
Primary,04-04-B-07,Yes,Yes,1,No,No,6,Bin
Primary,04-04-B-08,Yes,Yes,1,No,No,3,Bin
Primary,04-04-B-09,Yes,Yes,1,No,No,6,Bin
Primary,04-04-B-10,Yes,Yes,1,No,No,5,Bin
Primary,04-04-B-11,Yes,Yes,1,No,No,2,Bin
Primary,04-04-B-12,Yes,Yes,1,No,No,2,Bin
Primary,04-04-C-01,Yes,Yes,1,No,No,1,Bin
Primary,04-04-C-02,Yes,Yes,1,No,No,2,Bin
Primary,04-04-C-03,Yes,Yes,1,No,No,2,Bin
Primary,04-04-C-04,Yes,Yes,1,No,No,1,Bin
Primary,04-04-C-06,Yes,Yes,1,No,No,1,Bin
Primary,04-04-C-07,Yes,Yes,1,No,No,1,Bin
Primary,04-04-C-08,Yes,Yes,1,No,No,1,Bin
Primary,04-04-C-09,Yes,Yes,1,No,No,1,Bin
Primary,04-04-C-10,Yes,Yes,1,No,No,1,Bin
Primary,04-04-C-11,Yes,Yes,1,No,No,1,Bin
Primary,04-04-C-12,Yes,Yes,1,No,No,1,Bin
Primary,04-04-C-13,Yes,Yes,1,No,No,1,Bin
Primary,04-04-C-P01,Yes,Yes,1,No,No,364,Pallet
Primary,04-04-D-01,Yes,Yes,1,No,No,1,Bin
Primary,04-04-D-02,Yes,Yes,1,No,No,1,Bin
Primary,04-04-D-03,Yes,Yes,1,No,No,1,Bin
Primary,04-04-D-04,Yes,Yes,1,No,No,2,Bin
Primary,04-04-D-08,Yes,Yes,1,No,No,10,Bin
Primary,04-04-D-09,Yes,Yes,1,No,No,2,Bin
Primary,04-04-D-10,Yes,Yes,1,No,No,4,Bin
Primary,04-04-D-11,Yes,Yes,1,No,No,1,Bin
Primary,04-04-D-12,Yes,Yes,1,No,No,2,Bin
Primary,04-04-D-13,Yes,Yes,1,No,No,1,Bin
Primary,04-05-A-01,Yes,Yes,1,No,No,3,Bin
Primary,04-05-A-02,Yes,Yes,1,No,No,1,Bin
Primary,04-05-A-04,Yes,Yes,1,No,No,1,Bin
Primary,04-05-A-05,Yes,Yes,1,No,No,1,Bin
Primary,04-05-A-06,Yes,Yes,1,No,No,2,Bin
Primary,04-05-A-07,Yes,Yes,1,No,No,2,Bin
Primary,04-05-A-08,Yes,Yes,1,No,No,4,Bin
Primary,04-05-A-09,Yes,Yes,1,No,No,1,Bin
Primary,04-05-A-10,Yes,Yes,1,No,No,1,Bin
Primary,04-05-A-11,Yes,Yes,1,No,No,2,Bin
Primary,04-05-A-12,Yes,Yes,1,No,No,2,Bin
Primary,04-05-A-13,Yes,Yes,1,No,No,1,Bin
Primary,04-05-B-01,Yes,Yes,1,No,No,1,Bin
Primary,04-05-B-02,Yes,Yes,1,No,No,2,Bin
Primary,04-05-B-03,Yes,Yes,1,No,No,2,Bin
Primary,04-05-B-04,Yes,Yes,1,No,No,1,Bin
Primary,04-05-B-09,Yes,Yes,1,No,No,1,Bin
Primary,04-05-B-10,Yes,Yes,1,No,No,1,Bin
Primary,04-05-B-11,Yes,Yes,1,No,No,1,Bin
Primary,04-05-B-12,Yes,Yes,1,No,No,1,Bin
Primary,04-05-B-13,Yes,Yes,1,No,No,1,Bin
Primary,04-05-B-P02,Yes,Yes,1,No,No,1,Pallet
Primary,04-05-B-P03,Yes,Yes,1,No,No,1,Pallet
Primary,04-05-C-02,Yes,Yes,1,No,No,2,Bin
Primary,04-05-C-03,Yes,Yes,1,No,No,1,Bin
Primary,04-05-C-04,Yes,Yes,1,No,No,1,Bin
Primary,04-05-C-05,Yes,Yes,1,No,No,3,Bin
Primary,04-05-C-06,Yes,Yes,1,No,No,2,Bin
Primary,04-05-C-07,Yes,Yes,1,No,No,1,Bin
Primary,04-05-C-08,Yes,Yes,1,No,No,1,Bin
Primary,04-05-C-09,Yes,Yes,1,No,No,1,Bin
Primary,04-05-C-10,Yes,Yes,1,No,No,1,Bin
Primary,04-05-C-11,Yes,Yes,1,No,No,1,Bin
Primary,04-05-C-12,Yes,Yes,1,No,No,5,Bin
Primary,04-05-C-13,Yes,Yes,1,No,No,1,Bin
Primary,04-05-D-01,Yes,Yes,1,No,No,2,Bin
Primary,04-05-D-02,Yes,Yes,1,No,No,1,Bin
Primary,04-05-D-03,Yes,Yes,1,No,No,2,Bin
Primary,04-05-D-04,Yes,Yes,1,No,No,1,Bin
Primary,04-05-D-05,Yes,Yes,1,No,No,1,Bin
Primary,04-05-D-06,Yes,Yes,1,No,No,1,Bin
Primary,04-05-D-07,Yes,Yes,1,No,No,1,Bin
Primary,04-05-D-08,Yes,Yes,1,No,No,1,Bin
Primary,04-05-D-09,Yes,Yes,1,No,No,1,Bin
Primary,04-05-D-10,Yes,Yes,1,No,No,1,Bin
Primary,04-05-D-11,Yes,Yes,1,No,No,1,Bin
Primary,04-05-D-12,Yes,Yes,1,No,No,1,Bin
Primary,04-05-D-13,Yes,Yes,1,No,No,1,Bin
Primary,04-06-A-01,Yes,Yes,1,No,No,1,Bin
Primary,04-06-A-02,Yes,Yes,1,No,No,1,Bin
Primary,04-06-A-03,Yes,Yes,1,No,No,5,Bin
Primary,04-06-A-04,Yes,Yes,1,No,No,3,Bin
Primary,04-06-A-05,Yes,Yes,1,No,No,4,Bin
Primary,04-06-A-06,Yes,Yes,1,No,No,4,Bin
Primary,04-06-A-07,Yes,Yes,1,No,No,3,Bin
Primary,04-06-A-08,Yes,Yes,1,No,No,4,Bin
Primary,04-06-A-09,Yes,Yes,1,No,No,5,Bin
Primary,04-06-A-10,Yes,Yes,1,No,No,5,Bin
Primary,04-06-A-11,Yes,Yes,1,No,No,3,Bin
Primary,04-06-A-12,Yes,Yes,1,No,No,7,Bin
Primary,04-06-A-13,Yes,Yes,1,No,No,8,Bin
Primary,04-06-B-01,Yes,Yes,1,No,No,1,Bin
Primary,04-06-B-02,Yes,Yes,1,No,No,1,Bin
Primary,04-06-B-03,Yes,Yes,1,No,No,1,Bin
Primary,04-06-B-04,Yes,Yes,1,No,No,1,Bin
Primary,04-06-B-05,Yes,Yes,1,No,No,2,Bin
Primary,04-06-B-06,Yes,Yes,1,No,No,2,Bin
Primary,04-06-B-07,Yes,Yes,1,No,No,6,Bin
Primary,04-06-B-09,Yes,Yes,1,No,No,10,Bin
Primary,04-06-B-10,Yes,Yes,1,No,No,8,Bin
Primary,04-06-B-11,Yes,Yes,1,No,No,2,Bin
Primary,04-06-B-12,Yes,Yes,1,No,No,6,Bin
Primary,04-06-B-13,Yes,Yes,1,No,No,3,Bin
Primary,04-06-B-P01,Yes,Yes,1,No,No,250,Pallet
Primary,04-06-C-01,Yes,Yes,1,No,No,1,Bin
Primary,04-06-C-02,Yes,Yes,1,No,No,1,Bin
Primary,04-06-C-03,Yes,Yes,1,No,No,1,Bin
Primary,04-06-C-04,Yes,Yes,1,No,No,1,Bin
Primary,04-06-C-05,Yes,Yes,1,No,No,1,Bin
Primary,04-06-C-06,Yes,Yes,1,No,No,4,Bin
Primary,04-06-C-07,Yes,Yes,1,No,No,6,Bin
Primary,04-06-C-08,Yes,Yes,1,No,No,1,Bin
Primary,04-06-C-09,Yes,Yes,1,No,No,2,Bin
Primary,04-06-C-10,Yes,Yes,1,No,No,4,Bin
Primary,04-06-C-11,Yes,Yes,1,No,No,4,Bin
Primary,04-06-C-12,Yes,Yes,1,No,No,6,Bin
Primary,04-06-C-13,Yes,Yes,1,No,No,2,Bin
Primary,04-06-D-01,Yes,Yes,1,No,No,2,Bin
Primary,04-06-D-02,Yes,Yes,1,No,No,1,Bin
Primary,04-06-D-03,Yes,Yes,1,No,No,3,Bin
Primary,04-06-D-04,Yes,Yes,1,No,No,1,Bin
Primary,04-06-D-05,Yes,Yes,1,No,No,2,Bin
Primary,04-06-D-06,Yes,Yes,1,No,No,1,Bin
Primary,04-06-D-07,Yes,Yes,1,No,No,1,Bin
Primary,04-06-D-08,Yes,Yes,1,No,No,1,Bin
Primary,04-06-D-10,Yes,Yes,1,No,No,1,Bin
Primary,04-06-D-11,Yes,Yes,1,No,No,1,Bin
Primary,04-06-D-12,Yes,Yes,1,No,No,4,Bin
Primary,04-07-A-01,Yes,Yes,1,No,No,1,Bin
Primary,04-07-A-02,Yes,Yes,1,No,No,1,Bin
Primary,04-07-A-03,Yes,Yes,1,No,No,2,Bin
Primary,04-07-A-04,Yes,Yes,1,No,No,3,Bin
Primary,04-07-A-05,Yes,Yes,1,No,No,1,Bin
Primary,04-07-A-06,Yes,Yes,1,No,No,2,Bin
Primary,04-07-A-07,Yes,Yes,1,No,No,5,Bin
Primary,04-07-A-08,Yes,Yes,1,No,No,1,Bin
Primary,04-07-A-10,Yes,Yes,1,No,No,3,Bin
Primary,04-07-A-11,Yes,Yes,1,No,No,5,Bin
Primary,04-07-A-12,Yes,Yes,1,No,No,5,Bin
Primary,04-07-A-13,Yes,Yes,1,No,No,2,Bin
Primary,04-07-B-01,Yes,Yes,1,No,No,3,Bin
Primary,04-07-B-02,Yes,Yes,1,No,No,2,Bin
Primary,04-07-B-03,Yes,Yes,1,No,No,1,Bin
Primary,04-07-B-04,Yes,Yes,1,No,No,1,Bin
Primary,04-07-B-05,Yes,Yes,1,No,No,1,Bin
Primary,04-07-B-06,Yes,Yes,1,No,No,1,Bin
Primary,04-07-B-07,Yes,Yes,1,No,No,1,Bin
Primary,04-07-B-08,Yes,Yes,1,No,No,1,Bin
Primary,04-07-B-09,Yes,Yes,1,No,No,1,Bin
Primary,04-07-B-10,Yes,Yes,1,No,No,5,Bin
Primary,04-07-B-11,Yes,Yes,1,No,No,5,Bin
Primary,04-07-B-12,Yes,Yes,1,No,No,4,Bin
Primary,04-07-B-13,Yes,Yes,1,No,No,2,Bin
Primary,04-07-C-01,Yes,Yes,1,No,No,4,Bin
Primary,04-07-C-02,Yes,Yes,1,No,No,2,Bin
Primary,04-07-C-03,Yes,Yes,1,No,No,2,Bin
Primary,04-07-C-04,Yes,Yes,1,No,No,3,Bin
Primary,04-07-C-05,Yes,Yes,1,No,No,1,Bin
Primary,04-07-C-06,Yes,Yes,1,No,No,2,Bin
Primary,04-07-C-07,Yes,Yes,1,No,No,2,Bin
Primary,04-07-C-08,Yes,Yes,1,No,No,2,Bin
Primary,04-07-C-09,Yes,Yes,1,No,No,1,Bin
Primary,04-07-C-10,Yes,Yes,1,No,No,6,Bin
Primary,04-07-C-11,Yes,Yes,1,No,No,2,Bin
Primary,04-07-C-12,Yes,Yes,1,No,No,2,Bin
Primary,04-07-C-13,Yes,Yes,1,No,No,3,Bin
Primary,04-07-D-01,Yes,Yes,1,No,No,1,Bin
Primary,04-07-D-02,Yes,Yes,1,No,No,1,Bin
Primary,04-07-D-03,Yes,Yes,1,No,No,1,Bin
Primary,04-07-D-04,Yes,Yes,1,No,No,1,Bin
Primary,04-07-D-05,Yes,Yes,1,No,No,1,Bin
Primary,04-07-D-06,Yes,Yes,1,No,No,1,Bin
Primary,04-07-D-07,Yes,Yes,1,No,No,1,Bin
Primary,04-07-D-08,Yes,Yes,1,No,No,1,Bin
Primary,04-07-D-09,Yes,Yes,1,No,No,1,Bin
Primary,04-07-D-10,Yes,Yes,1,No,No,1,Bin
Primary,04-07-D-11,Yes,Yes,1,No,No,1,Bin
Primary,04-07-D-12,Yes,Yes,1,No,No,1,Bin
Primary,04-07-D-13,Yes,Yes,1,No,No,1,Bin
Primary,04-08-A-01,Yes,Yes,1,No,No,1,Bin
Primary,04-08-A-02,Yes,Yes,1,No,No,1,Bin
Primary,04-08-A-03,Yes,Yes,1,No,No,2,Bin
Primary,04-08-A-04,Yes,Yes,1,No,No,4,Bin
Primary,04-08-A-05,Yes,Yes,1,No,No,4,Bin
Primary,04-08-A-06,Yes,Yes,1,No,No,1,Bin
Primary,04-08-A-07,Yes,Yes,1,No,No,1,Bin
Primary,04-08-A-08,Yes,Yes,1,No,No,1,Bin
Primary,04-08-A-09,Yes,Yes,1,No,No,2,Bin
Primary,04-08-A-10,Yes,Yes,1,No,No,5,Bin
Primary,04-08-A-11,Yes,Yes,1,No,No,2,Bin
Primary,04-08-A-12,Yes,Yes,1,No,No,1,Bin
Primary,04-08-A-13,Yes,Yes,1,No,No,3,Bin
Primary,04-08-A-P03,Yes,Yes,1,No,No,5425,Pallet
Primary,04-08-B-01,Yes,Yes,1,No,No,2,Bin
Primary,04-08-B-02,Yes,Yes,1,No,No,1,Bin
Primary,04-08-B-03,Yes,Yes,1,No,No,2,Bin
Primary,04-08-B-04,Yes,Yes,1,No,No,1,Bin
Primary,04-08-B-05,Yes,Yes,1,No,No,1,Bin
Primary,04-08-B-06,Yes,Yes,1,No,No,2,Bin
Primary,04-08-B-07,Yes,Yes,1,No,No,1,Bin
Primary,04-08-B-08,Yes,Yes,1,No,No,2,Bin
Primary,04-08-B-09,Yes,Yes,1,No,No,2,Bin
Primary,04-08-B-10,Yes,Yes,1,No,No,8,Bin
Primary,04-08-B-11,Yes,Yes,1,No,No,4,Bin
Primary,04-08-B-12,Yes,Yes,1,No,No,1,Bin
Primary,04-08-B-13,Yes,Yes,1,No,No,1,Bin
Primary,04-08-C-01,Yes,Yes,1,No,No,2,Bin
Primary,04-08-C-02,Yes,Yes,1,No,No,4,Bin
Primary,04-08-C-03,Yes,Yes,1,No,No,3,Bin
Primary,04-08-C-04,Yes,Yes,1,No,No,3,Bin
Primary,04-08-C-05,Yes,Yes,1,No,No,1,Bin
Primary,04-08-C-06,Yes,Yes,1,No,No,2,Bin
Primary,04-08-C-07,Yes,Yes,1,No,No,2,Bin
Primary,04-08-C-08,Yes,Yes,1,No,No,2,Bin
Primary,04-08-C-09,Yes,Yes,1,No,No,1,Bin
Primary,04-08-C-10,Yes,Yes,1,No,No,1,Bin
