Item,Sku,Warehouse,Client,Location,Type,Units,Active Item,Pickable,Sellable,Active Lot,Lot Name,Exp Date,Days to Expire,Creation Date,unique id,,,
The Taffeta Gingham Drawstring Cargo Pant Stk L,2033077StkL,Primary,DONNI. HQ,Y8-09-D-02,Bin,0,yes,yes,yes,,,,,2025-08-15 02:41:03,2033077StkL-Y8-09-D-02,0,,MISSING IN SNAPSHOT
The Sweater Rib Cardi Nav XXL,1045033NavXXL,Primary,DONNI. HQ,Y8-09-D-02,Bin,0,yes,yes,yes,,,,,2025-08-19 23:25:26,1045033NavXXL-Y8-09-D-02,0,,MISSING IN SNAPSHOT
The Eco-Terry Stripe Crop Pant Blpr XL,2049037BlprXL,Primary,DONNI. HQ,Y8-09-D-01,Bin,0,yes,yes,yes,,,,,2025-09-23 20:32:39,2049037BlprXL-Y8-09-D-01,0,,MISSING IN SNAPSHOT
The Baby Rib Scallop Pant Cgy S,2037029CgyS,Primary,DONNI. HQ,Y8-09-C-10,Bin,0,yes,yes,yes,,,,,2025-10-22 19:36:16,2037029CgyS-Y8-09-C-10,0,,MISSING IN SNAPSHOT
The Sweater Rib Simple Pant Cre M,2041033CreM,Primary,DONNI. HQ,Y8-09-C-04,Bin,0,yes,yes,yes,,,,,2025-10-14 19:23:17,2041033CreM-Y8-09-C-04,0,,MISSING IN SNAPSHOT
The Linen Stripe Crop Racer Pant Jet S,2048018JetS,Primary,DONNI. HQ,Y8-09-C-03,Bin,0,yes,yes,yes,,,,,2025-10-14 19:22:41,2048018JetS-Y8-09-C-03,0,,MISSING IN SNAPSHOT
The Cotton Cashmere Crewneck Sweater Cgy M,1059048CgyM,Primary,DONNI. HQ,Y8-09-C-02,Bin,0,yes,yes,yes,,,,,2025-10-14 19:22:20,1059048CgyM-Y8-09-C-02,0,,MISSING IN SNAPSHOT
The Baby Rib Scallop Pant Jet M,2037029JetM,Primary,DONNI. HQ,Y8-09-C-02,Bin,0,yes,yes,yes,,,,,2025-10-16 00:43:35,2037029JetM-Y8-09-C-02,0,,MISSING IN SNAPSHOT
The Eco-Terry Crewneck Nav M,1021037NavM,Primary,DONNI. HQ,Y8-09-B-03,Bin,0,yes,yes,yes,,,,,2025-10-23 17:33:49,1021037NavM-Y8-09-B-03,0,,MISSING IN SNAPSHOT
The Pointelle Simple Crop Pant Jet M,2021034JetM,Primary,DONNI. HQ,Y8-08-D-07,Bin,0,yes,yes,yes,,,,,2025-10-15 21:58:13,2021034JetM-Y8-08-D-07,0,,MISSING IN SNAPSHOT
The Sweater Rib Simple Pant Esp XS,2041033EspXS,Primary,DONNI. HQ,Y8-08-D-07,Bin,0,yes,yes,yes,,,,,2025-10-22 19:37:04,2041033EspXS-Y8-08-D-07,0,,MISSING IN SNAPSHOT
The Sweater Rib Kick Flare Esp XXS,2064033EspXXS,Primary,DONNI. HQ,Y8-08-D-02,Bin,0,yes,yes,yes,,,,,2025-10-14 19:21:42,2064033EspXXS-Y8-08-D-02,0,,MISSING IN SNAPSHOT
The Stripe Pop Drawstring Pant Taro S,2031078TaroS,Primary,DONNI. HQ,Y8-08-C-01,Bin,0,yes,yes,yes,,,,,2025-07-12 21:42:34,2031078TaroS-Y8-08-C-01,0,,MISSING IN SNAPSHOT
The Sweater Rib Shell Cgy S,1075033CgyS,Primary,DONNI. HQ,Y8-07-D-10,Bin,0,yes,yes,yes,,,,,2025-10-15 18:33:30,1075033CgyS-Y8-07-D-10,0,,MISSING IN SNAPSHOT
The Silk Stripe Crop Pant Nav XS,2043056NavXS,Primary,DONNI. HQ,Y8-07-D-06,Bin,0,yes,yes,yes,,,,,2025-08-06 16:14:18,2043056NavXS-Y8-07-D-06,0,,MISSING IN SNAPSHOT
The Jersey Boyfriend V-Neck Pow M,1088052PowM,Primary,DONNI. HQ,Y8-07-D-05,Bin,0,yes,yes,yes,,,,,2025-11-18 20:33:53,1088052PowM-Y8-07-D-05,0,,MISSING IN SNAPSHOT
The Polar Fleece Coat Esp XS,4002022EspXS,Primary,DONNI. HQ,Y8-07-D-04,Bin,0,yes,yes,yes,,,,,2025-10-14 19:20:52,4002022EspXS-Y8-07-D-04,0,,MISSING IN SNAPSHOT
The Rib Scoop Tank Cre XS,1038015CreXS,Primary,DONNI. HQ,Y8-07-D-03,Bin,0,yes,yes,yes,,,,,2025-07-28 23:25:53,1038015CreXS-Y8-07-D-03,0,,MISSING IN SNAPSHOT
The Stripe Jersey Turtleneck Oxbld S,1086088OxbldS,Primary,DONNI. HQ,Y8-07-D-03,Bin,0,yes,yes,yes,,,,,2025-10-14 21:42:40,1086088OxbldS-Y8-07-D-03,0,,MISSING IN SNAPSHOT
The Polar Fleece Jacket Cre L,4006022CreL,Primary,DONNI. HQ,Y8-07-D-02,Bin,0,yes,yes,yes,,,,,2025-10-14 21:42:06,4006022CreL-Y8-07-D-02,0,,MISSING IN SNAPSHOT
The Silk Stripe Crop Pant Azr S,2043056AzrS,Primary,DONNI. HQ,Y8-07-C-03,Bin,0,yes,yes,yes,,,,,2025-07-28 21:19:14,2043056AzrS-Y8-07-C-03,0,,MISSING IN SNAPSHOT
The Linen Stripe Crop Racer Pant Pst M,2048018PstM,Primary,DONNI. HQ,Y8-06-D-02,Bin,0,yes,yes,yes,,,,,2025-10-15 21:55:05,2048018PstM-Y8-06-D-02,0,,MISSING IN SNAPSHOT
The Sweater Rib Cardi Nav XL,1045033NavXL,Primary,DONNI. HQ,Y8-06-C-06,Bin,0,yes,yes,yes,,,,,2025-08-19 23:23:49,1045033NavXL-Y8-06-C-06,0,,MISSING IN SNAPSHOT
The Stripe Pop Drawstring Pant Btr XL,2031078BtrXL,Primary,DONNI. HQ,Y8-06-C-05,Bin,0,yes,yes,yes,,,,,2025-08-18 19:53:37,2031078BtrXL-Y8-06-C-05,0,,MISSING IN SNAPSHOT
The Pointelle Long Sleeve Oxbld L,1038046OxbldL,Primary,DONNI. HQ,Y8-06-A-04,Bin,1,yes,yes,yes,,,,,2025-11-18 23:22:35,1038046OxbldL-Y8-06-A-04,0,,MISSING IN SNAPSHOT
The Linen Simple Pant Blpr XS,2020018BlprXS,Primary,DONNI. HQ,Y8-05-D-02,Bin,0,yes,yes,yes,,,,,2025-07-15 00:33:20,2020018BlprXS-Y8-05-D-02,0,,MISSING IN SNAPSHOT
The Sweater Rib Kick Flare Esp XS,2064033EspXS,Primary,DONNI. HQ,Y8-05-C-08,Bin,0,yes,yes,yes,,,,,2025-10-14 19:18:17,2064033EspXS-Y8-05-C-08,0,,MISSING IN SNAPSHOT
The Baby Rib Scallop Pant Jet M,2037029JetM,Primary,DONNI. HQ,Y8-05-C-06,Bin,0,yes,yes,yes,,,,,2025-10-07 19:56:55,2037029JetM-Y8-05-C-06,0,,MISSING IN SNAPSHOT
The Baby Rib Scallop Pant Jet M,2037029JetM,Primary,DONNI. HQ,Y8-05-C-03,Bin,0,yes,yes,yes,,,,,2025-10-21 20:46:00,2037029JetM-Y8-05-C-03,0,,MISSING IN SNAPSHOT
The Linen Stripe Crop Racer Pant Jet L,2048018JetL,Primary,DONNI. HQ,Y8-05-A-03,Bin,0,yes,yes,yes,,,,,2025-08-12 23:26:40,2048018JetL-Y8-05-A-03,0,,MISSING IN SNAPSHOT
The Jersey Tee Pow M,1030043PowM,Primary,DONNI. HQ,Y8-04-D-04,Bin,0,yes,yes,yes,,,,,2025-10-15 21:53:56,1030043PowM-Y8-04-D-04,0,,MISSING IN SNAPSHOT
The Polar Fleece Coat Esp L,4002022EspL,Primary,DONNI. HQ,Y8-04-C-06,Bin,0,yes,yes,yes,,,,,2025-10-14 19:17:08,4002022EspL-Y8-04-C-06,0,,MISSING IN SNAPSHOT
The Jersey Tee Pow S,1030043PowS,Primary,DONNI. HQ,Y8-04-C-04,Bin,0,yes,yes,yes,,,,,2025-10-15 21:53:25,1030043PowS-Y8-04-C-04,0,,MISSING IN SNAPSHOT
The Eco-Terry Sweatpants Esp XXS,2004037EspXXS,Primary,DONNI. HQ,Y8-04-C-04,Bin,0,yes,yes,yes,,,,,2025-11-05 20:57:30,2004037EspXXS-Y8-04-C-04,0,,MISSING IN SNAPSHOT
The Baby Rib Scallop Pant Jet M,2037029JetM,Primary,DONNI. HQ,Y8-04-C-02,Bin,0,yes,yes,yes,,,,,2025-10-10 17:54:47,2037029JetM-Y8-04-C-02,0,,MISSING IN SNAPSHOT
The Sweater Rib Simple Pant Cgy S,2041033CgyS,Primary,DONNI. HQ,Y8-04-B-03,Bin,0,yes,yes,yes,,,,,2025-09-25 23:32:49,2041033CgyS-Y8-04-B-03,0,,MISSING IN SNAPSHOT
The Silk Stripe Crop Pant Azr S,2043056AzrS,Primary,DONNI. HQ,Y8-03-D-10,Bin,0,yes,yes,yes,,,,,2025-09-23 20:28:57,2043056AzrS-Y8-03-D-10,0,,MISSING IN SNAPSHOT
The Poplin Shirt Crtws XS,1010078CrtwsXS,Primary,DONNI. HQ,Y8-03-D-08,Bin,0,yes,yes,yes,,,,,2025-10-15 21:52:44,1010078CrtwsXS-Y8-03-D-08,0,,MISSING IN SNAPSHOT
The Linen Stripe Crop Racer Pant Blpr XXS,2048018BlprXXS,Primary,DONNI. HQ,Y8-03-D-05,Bin,0,yes,yes,yes,,,,,2025-09-25 19:09:16,2048018BlprXXS-Y8-03-D-05,0,,MISSING IN SNAPSHOT
The Rib Scoop Long Sleeve Pow XS,1075015PowXS,Primary,DONNI. HQ,Y8-03-D-05,Bin,0,yes,yes,yes,,,,,2025-10-07 19:54:28,1075015PowXS-Y8-03-D-05,0,,MISSING IN SNAPSHOT
The Chino Barrel Pant Cre 0,2066084Cre0,Primary,DONNI. HQ,Y8-03-D-04,Bin,0,yes,yes,yes,,,,,2025-10-07 19:55:03,2066084Cre0-Y8-03-D-04,0,,MISSING IN SNAPSHOT
The Pointelle Simple Crop Pant Esp M,2021034EspM,Primary,DONNI. HQ,Y8-03-D-04,Bin,0,yes,yes,yes,,,,,2025-10-14 19:14:49,2021034EspM-Y8-03-D-04,0,,MISSING IN SNAPSHOT
The Silk Stripe Crop Pant Jet XL,2043056JetXL,Primary,DONNI. HQ,Y8-03-D-04,Bin,0,yes,yes,yes,,,,,2025-10-15 21:47:26,2043056JetXL-Y8-03-D-04,0,,MISSING IN SNAPSHOT
The Sweater Rib Simple Pant Esp M,2041033EspM,Primary,DONNI. HQ,Y8-03-D-04,Bin,0,yes,yes,yes,,,,,2025-10-22 20:49:18,2041033EspM-Y8-03-D-04,0,,MISSING IN SNAPSHOT
The Cotton Cashmere Crewneck Sweater Oxbld S,1059048OxbldS,Primary,DONNI. HQ,Y8-03-D-04,Bin,0,yes,yes,yes,,,,,2025-10-27 20:18:44,1059048OxbldS-Y8-03-D-04,0,,MISSING IN SNAPSHOT
The Sweater Rib Simple Pant Esp S,2041033EspS,Primary,DONNI. HQ,Y8-03-D-02,Bin,0,yes,yes,yes,,,,,2025-10-14 19:15:42,2041033EspS-Y8-03-D-02,0,,MISSING IN SNAPSHOT
The Vintage Rib Lace Tee Cre S,1044082CreS,Primary,DONNI. HQ,Y8-03-C-06,Bin,0,yes,yes,yes,,,,,2025-07-22 18:22:35,1044082CreS-Y8-03-C-06,0,,MISSING IN SNAPSHOT
The Eco-Terry Stripe Crop Pant Blpr XS,2049037BlprXS,Primary,DONNI. HQ,Y8-03-C-05,Bin,0,yes,yes,yes,,,,,2025-09-23 20:27:56,2049037BlprXS-Y8-03-C-05,0,,MISSING IN SNAPSHOT
The Sweater Rib Simple Pant Nav XS,2041033NavXS,Primary,DONNI. HQ,Y8-03-C-05,Bin,0,yes,yes,yes,,,,,2025-10-01 21:44:16,2041033NavXS-Y8-03-C-05,0,,MISSING IN SNAPSHOT
The Poplin Shirt Crtws S,1010078CrtwsS,Primary,DONNI. HQ,Y8-03-C-04,Bin,0,yes,no,yes,,,,,2025-10-15 21:48:46,1010078CrtwsS-Y8-03-C-04,0,,MISSING IN SNAPSHOT
The Sweater Rib Cardi Cgy L,1045033CgyL,Primary,DONNI. HQ,Y8-03-C-03,Bin,0,yes,yes,yes,,,,,2025-11-05 00:19:36,1045033CgyL-Y8-03-C-03,0,,MISSING IN SNAPSHOT
The Sweater Rib Simple Pant Nav XXS,2041033NavXXS,Primary,DONNI. HQ,Y8-03-A-06,Bin,0,yes,yes,yes,,,,,2025-08-14 18:29:25,2041033NavXXS-Y8-03-A-06,0,,MISSING IN SNAPSHOT
The Cotton Cashmere V-Neck Sweater Cre M,1054048CreM,Primary,DONNI. HQ,Y8-03-A-04,Bin,0,yes,yes,yes,,,,,2025-08-06 17:14:36,1054048CreM-Y8-03-A-04,0,,MISSING IN SNAPSHOT
